cve_ent,state,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
1,AGUASCALIENTES,1992.5625681793624,133.34402130158543,171.19336974212953,5.92485196583103,1434635,4.96948701237597,11.534780623642947,1.4058628152805417,82.10715617561262,10.35,18.268618847302623,80.93619631474208,3.68,99.5572461799221,0.44275382007788955,26.84968650562687,65.64972972219415,6.766180944979036
2,BAJA CALIFORNIA,1470.4247857143644,92.16290660348602,237.9178556140141,4.786968880300468,3634868,4.180206819064682,9.938985404696952,1.4448667737040244,88.41215141787816,10.2,23.00818076474854,79.92766174727666,3.26,99.165994291996,0.8340057080040004,24.163270853301963,72.55333618717378,6.747975442299419
3,BAJA CALIFORNIA SUR,6304.8956888709945,2080.3819522112367,184.6632567341197,14.415166743713248,804708,4.396998662869016,11.21313569642653,1.2952524393941653,82.41710036435576,10.34,16.06421211172251,82.5295635186925,3.3,98.91544820932515,1.0845517906748507,24.487515968525226,68.22835115346187,6.028646415842765
4,CAMPECHE,1556.839430071646,491.8964998595866,126.42199762746388,5.596546930543854,1000617,5.222677607915916,11.288634912259136,1.2306406946913755,75.28065183781607,9.63,20.317863877987282,71.92332330951803,3.55,95.38671013519992,4.613289864800077,24.09693219283702,61.27349425404526,6.979493652416459
5,COAHUILA,2325.7381816374213,176.06377690510513,198.09116667495155,2.081572799125118,3218720,4.188497290848536,9.399481781577771,1.0896567579658996,83.38050529402993,10.43,18.559334145250286,78.93535318387434,3.48,99.36129330889804,0.6387066911019522,25.608937714370928,64.8315168762738,7.1328664810856495
6,COLIMA,2322.0951839959857,779.3385493018558,154.1100906447533,4.330366183406292,785153,5.079264805713027,11.122036087233953,1.2777127515274094,76.11433695088728,10.05,15.675161401663114,77.17565875695564,3.21,98.81068357041785,1.1893164295821523,22.05468233579952,62.982628863418974,7.866237535868806
7,CHIAPAS,282.8091115281098,77.04567613208718,28.863770854467084,0.7154864601167779,5730367,3.9766737453290513,7.333928175978956,0.9294169116916945,84.52856509888458,7.78,31.669559733259668,64.5449584642659,4.09,88.77480250151181,11.225197498488184,30.88940027750404,59.27852439468536,6.090901333195588
8,CHIHUAHUA,1604.1091288750954,91.04332067951304,197.10707941392403,10.75894774860469,3801487,4.413746515508273,10.381148219104787,1.2968346333947742,82.71047618997514,10.0,15.1021955355891,83.02787830130683,3.25,98.24161829037983,1.7583817096201573,24.788273641340876,66.10431654770883,7.338181085454192
9,DISTRITO FEDERAL,9027.209741596436,1611.3063547794598,382.07513434667845,7.096409715650188,9018645,5.47298402365322,12.653985160741996,1.612526050199337,83.0448365580417,11.48,27.75127527472253,74.16870272640735,3.32,99.61804130799084,0.3819586920091615,18.326178710881734,72.35499346076932,11.333243519397868
10,DURANGO,2089.250057249989,246.28196101008243,133.49413267872163,3.691821705343404,1868996,5.454960845288059,11.655990703029861,1.2026242966812128,80.21317327591926,9.75,24.686730201669775,73.12294943381367,3.69,97.47902563915592,2.520974360844079,27.4962600240985,62.74111876108884,7.648063452249229
11,GUANAJUATO,2273.2501896623007,145.21107708116745,177.88517503120897,1.8785599312800296,6228175,4.58585380147475,9.854395549258008,1.1960807138527738,83.74374515809205,9.04,20.474537083495566,78.26788746302087,3.87,98.70415390559654,1.29584609440345,26.262781633464055,65.06279929513863,7.497669863162162
12,GUERRERO,1537.9617658833026,404.0690742916144,124.3352561957076,4.757935908962639,3657048,5.841186662029046,11.951415458588457,1.2781620585783944,78.0702632287025,8.37,24.39019121433462,71.97072611570863,3.74,92.50331460453503,7.496685395464962,28.300448886642997,59.46156572186091,8.661877011184977
13,HIDALGO,1507.5424100590524,236.09924008898352,203.0835785477904,4.730408817482036,3086414,5.40967608363622,13.388936156976996,1.2490547282380133,80.42501751223264,9.37,30.085076078581814,69.63981500861519,3.59,96.95756054196698,3.0424394580330247,25.641990996671215,65.56058260492598,8.577786388993829
14,JALISCO,1341.963374881818,297.72787187356306,149.8746743787199,3.139234690255637,8409693,4.596802760814218,9.82214214002818,1.3031391276708912,83.54699749443886,9.9,29.16300273981464,69.39266391769593,3.56,99.24688055893793,0.7531194410620645,25.01861839665253,65.4843999656111,8.158133715463812
15,MEXICO,1744.042130413552,276.22549961871243,213.49235904265544,4.171498508990526,17427790,4.340946270295889,11.067668361851963,1.1780438024557331,81.40058492786521,10.08,32.54901510748064,64.65350454647434,3.71,98.82115774186381,1.1788422581361828,23.65226457284601,66.58199347134662,7.220387668201189
16,MICHOACAN,1166.8874773308996,150.53671187119994,123.05713038149575,5.222363903020702,4825401,5.348923333003827,11.275829718607842,1.183134831695853,81.10569463553392,8.6,36.98405583287275,61.22923255497316,3.68,98.14407726965602,1.855922730343971,26.906033301688293,62.671205978529045,8.763105905602457
17,MORELOS,1866.091862363984,157.43193197061922,172.98922046243305,8.218944863599761,2044058,5.345004887336857,12.563342136084202,1.197715524706246,77.93193735207123,9.84,27.013421341273098,69.31721115545645,3.5,98.6223600734123,1.3776399265877015,22.92258830228888,64.21505651992263,9.267251712035568
18,NAYARIT,1712.5171992850994,752.2286315616292,144.9667887916149,5.277163617681913,1288571,5.293926372702785,12.163939744104129,1.2925170595954745,77.75070213437986,9.73,21.189286426591938,74.5448252366381,3.39,97.46145542115315,2.538544578846846,25.677902110167,61.596373036487705,8.51307378483607
19,NUEVO LEON,2680.0160352133,445.7275942385172,172.7582117635651,3.671914117137269,5610153,3.9251335926132493,9.82814550690507,1.2338166178355565,88.23620318376344,10.74,19.12004895410161,83.44629816691274,3.49,99.40812780621245,0.5918721937875471,24.62406996743226,70.37330354448443,7.786097812305654
20,OAXACA,1391.2804660110198,237.1130562292194,94.02467858209047,2.847770039190625,4143593,6.6096259936726405,13.332559447802907,1.185275677413298,79.12736603232992,8.12,29.34627025385939,70.10106928938242,3.65,90.54065576449605,9.459344235503938,27.680662651954474,62.288670726106545,9.527890408155434
21,PUEBLA,1421.601886364211,121.82693156478868,184.2848103498686,8.040032396333928,6604451,4.544662379961635,10.391325486403034,1.0659326566280831,84.1630137009117,9.16,29.100753416143142,70.42193211820332,3.83,97.093466076722,2.90653392327801,26.96218050523806,64.81762072275198,7.813745608832588
22,QUERETARO,3316.975465830744,312.8129610108978,195.2942507951924,6.272928540815928,2279637,4.218215443950067,10.73824472931436,1.274632759513905,87.94996747289152,10.48,21.33966942982589,82.1692225560473,3.53,98.61956926611887,1.3804307338811375,25.594557379091498,71.00634881781616,6.996420921401082
23,QUINTANA ROO,2692.862767581658,1002.170886674609,170.60697202219745,19.43991007735924,1723259,3.8882721633834496,9.52364096168945,1.181018059386314,92.42371576182106,10.24,27.19150168372833,79.22941357044995,3.22,97.87328689166952,2.1267131083304807,26.54273095338542,75.31264888214714,4.742815792634769
24,SAN LUIS POTOSI,2602.592614043547,338.3293640022023,189.383498793849,3.5239007697455325,2866142,5.0193256300629905,11.713969510233618,1.3587603126432675,81.00404655456708,9.61,17.10606103954375,81.2050484588691,3.63,97.01119719928019,2.9888028007198013,25.3454992809149,64.19469098181459,8.860831040471826
25,SINALOA,1919.2035667921364,647.2952227566103,201.5412424596268,6.240745797633839,3156674,4.687148562062474,10.244833644525853,1.3003243287080009,80.20115475972494,10.22,18.219017865006016,77.534613963938,3.49,98.52038333395726,1.4796166660427508,23.661106595106116,63.608817381839245,8.549853421671036
26,SONORA,2972.2464789763053,479.421870756762,219.17264683738,4.683315201748438,3074745,4.731221613499656,10.342190978438863,1.309767151422313,79.94568655286861,10.4,17.813737399361575,77.77812469001495,3.34,98.64263927068819,1.3573607293118028,23.541692075277787,64.44329529765884,7.701484188119665
27,TABASCO,3545.2109348606905,782.3388292208451,164.6006063864569,6.764408481635213,2572287,5.623517126976889,9.949317475071794,1.178873119523599,77.28717674194209,9.69,29.370128605400563,63.95433324508502,3.58,96.15555286619065,3.8444471338093513,25.41057821308431,61.24705369190918,6.711498367017366
28,TAMAULIPAS,2067.8233343432125,381.4439371917289,141.53829971056828,7.231683979792921,3650602,4.647151346545035,10.57978930598296,1.2726394167318158,80.60936251062154,10.09,19.554555659587102,76.79300564673991,3.29,98.90003096001294,1.0999690399870548,23.87378848748782,64.76238713505334,7.84328173819003
29,TLAXCALA,1589.552547044915,132.9699545873185,182.9695560397707,2.898527620432011,1380011,3.936417898118203,10.370279657191137,0.9485431637863756,81.00333982845063,9.83,25.843344726962318,69.89792110352744,3.93,98.45657055363797,1.5434294463620208,25.21110338975559,63.3875382152751,7.201464336153843
30,VERACRUZ,999.6648657788616,262.3110303187569,117.83562778883312,2.9742869381261663,8539862,5.491774925636972,12.066178586960772,1.2334157156169503,76.28164249024164,8.75,26.095035259351967,68.21577444694071,3.37,96.05270532884154,3.947294671158468,22.96176448752919,61.923295716019766,9.485422598163765
31,YUCATAN,2474.660240503068,609.3582482920175,181.3998330307052,14.784661842912524,2259098,5.753889384170143,12.04060204559519,1.5016612825118698,84.13202968618448,9.59,22.35883525194569,80.12582898130138,3.52,97.48983793886808,2.5101620611319206,24.401110531725497,69.2123582066825,8.95321938224902
32,ZACATECAS,2063.938032651915,206.9698864516036,169.94453999157477,4.140597902337097,1666426,5.756871292214596,12.016735216565271,1.1488658962354164,78.9414591467008,9.25,19.577106934241304,77.59474468113196,3.65,98.78384087586953,1.2161591241304677,27.532215651940138,61.19299626866119,8.505628212713916
